event_id,alert_id,event_type,timestamp,actor_id,previous_status,new_status
EVT-0000001,ALT-000001,CREATED,2026-01-01T12:54:00Z,ANL-1007,,NEW
EVT-0000002,ALT-000001,ASSIGNED,2026-01-01T12:54:00Z,ANL-1007,NEW,ASSIGNED
EVT-0000003,ALT-000001,ACKNOWLEDGED,2026-01-01T12:55:00Z,ANL-1007,ASSIGNED,ACKNOWLEDGED
EVT-0000004,ALT-000001,INVESTIGATION_STARTED,2026-01-01T12:59:00Z,ANL-1007,ACKNOWLEDGED,INVESTIGATING
EVT-0000005,ALT-000001,EVIDENCE_ADDED,2026-01-01T13:16:00Z,ANL-1007,INVESTIGATING,INVESTIGATING
EVT-0000006,ALT-000001,ESCALATION_REQUESTED,2026-01-01T13:37:00Z,ANL-1007,INVESTIGATING,INVESTIGATING
EVT-0000007,ALT-000001,ESCALATED,2026-01-01T13:37:00Z,ANL-1007,INVESTIGATING,ESCALATED
EVT-0000008,ALT-000001,CLOSED,2026-01-01T13:40:00Z,ANL-1007,ESCALATED,CLOSED
EVT-0000009,ALT-000002,CREATED,2026-01-01T08:48:00Z,ANL-1007,,NEW
EVT-0000010,ALT-000002,ASSIGNED,2026-01-01T08:48:00Z,ANL-1007,NEW,ASSIGNED
EVT-0000011,ALT-000002,ACKNOWLEDGED,2026-01-01T08:52:00Z,ANL-1007,ASSIGNED,ACKNOWLEDGED
EVT-0000012,ALT-000002,INVESTIGATION_STARTED,2026-01-01T08:53:00Z,ANL-1007,ACKNOWLEDGED,INVESTIGATING
EVT-0000013,ALT-000002,EVIDENCE_ADDED,2026-01-01T09:15:00Z,ANL-1007,INVESTIGATING,INVESTIGATING
EVT-0000014,ALT-000002,ESCALATION_REQUESTED,2026-01-01T09:32:00Z,ANL-1007,INVESTIGATING,INVESTIGATING
EVT-0000015,ALT-000002,ESCALATED,2026-01-01T09:32:00Z,ANL-1007,INVESTIGATING,ESCALATED
EVT-0000016,ALT-000002,CLOSED,2026-01-01T09:37:00Z,ANL-1007,ESCALATED,CLOSED
EVT-0000017,ALT-000003,CREATED,2026-01-01T18:01:00Z,ANL-1005,,NEW
EVT-0000018,ALT-000003,ASSIGNED,2026-01-01T18:01:00Z,ANL-1005,NEW,ASSIGNED
EVT-0000019,ALT-000003,ACKNOWLEDGED,2026-01-01T18:10:00Z,ANL-1005,ASSIGNED,ACKNOWLEDGED
EVT-0000020,ALT-000003,INVESTIGATION_STARTED,2026-01-01T18:13:00Z,ANL-1005,ACKNOWLEDGED,INVESTIGATING
EVT-0000021,ALT-000003,EVIDENCE_ADDED,2026-01-01T18:50:00Z,ANL-1005,INVESTIGATING,INVESTIGATING
EVT-0000022,ALT-000003,ESCALATION_REQUESTED,2026-01-01T18:44:00Z,ANL-1005,INVESTIGATING,INVESTIGATING
EVT-0000023,ALT-000003,ESCALATED,2026-01-01T18:44:00Z,ANL-1005,INVESTIGATING,ESCALATED
EVT-0000024,ALT-000003,CLOSED,2026-01-01T18:51:00Z,ANL-1005,ESCALATED,CLOSED
EVT-0000025,ALT-000004,CREATED,2026-01-01T20:17:00Z,ANL-1010,,NEW
EVT-0000026,ALT-000004,ASSIGNED,2026-01-01T20:17:00Z,ANL-1010,NEW,ASSIGNED
EVT-0000027,ALT-000004,ACKNOWLEDGED,2026-01-01T20:18:00Z,ANL-1010,ASSIGNED,ACKNOWLEDGED
EVT-0000028,ALT-000004,INVESTIGATION_STARTED,2026-01-01T20:22:00Z,ANL-1010,ACKNOWLEDGED,INVESTIGATING
EVT-0000029,ALT-000004,EVIDENCE_ADDED,2026-01-01T20:52:00Z,ANL-1010,INVESTIGATING,INVESTIGATING
EVT-0000030,ALT-000004,ESCALATION_REQUESTED,2026-01-01T20:53:00Z,ANL-1010,INVESTIGATING,INVESTIGATING
EVT-0000031,ALT-000004,ESCALATED,2026-01-01T20:53:00Z,ANL-1010,INVESTIGATING,ESCALATED
EVT-0000032,ALT-000004,CLOSED,2026-01-01T20:59:00Z,ANL-1010,ESCALATED,CLOSED
EVT-0000033,ALT-000005,CREATED,2026-01-01T06:05:00Z,ANL-1004,,NEW
EVT-0000034,ALT-000005,ASSIGNED,2026-01-01T06:05:00Z,ANL-1004,NEW,ASSIGNED
EVT-0000035,ALT-000005,ACKNOWLEDGED,2026-01-01T06:13:00Z,ANL-1004,ASSIGNED,ACKNOWLEDGED
EVT-0000036,ALT-000005,INVESTIGATION_STARTED,2026-01-01T06:14:00Z,ANL-1004,ACKNOWLEDGED,INVESTIGATING
EVT-0000037,ALT-000005,EVIDENCE_ADDED,2026-01-01T06:38:00Z,ANL-1004,INVESTIGATING,INVESTIGATING
EVT-0000038,ALT-000005,CLOSED,2026-01-01T09:59:00Z,ANL-1004,INVESTIGATING,CLOSED
EVT-0000039,ALT-000006,CREATED,2026-01-01T09:16:00Z,ANL-1004,,NEW
EVT-0000040,ALT-000006,ASSIGNED,2026-01-01T09:16:00Z,ANL-1004,NEW,ASSIGNED
EVT-0000041,ALT-000006,ACKNOWLEDGED,2026-01-01T09:25:00Z,ANL-1004,ASSIGNED,ACKNOWLEDGED
EVT-0000042,ALT-000006,INVESTIGATION_STARTED,2026-01-01T09:30:00Z,ANL-1004,ACKNOWLEDGED,INVESTIGATING
EVT-0000043,ALT-000006,EVIDENCE_ADDED,2026-01-01T09:55:00Z,ANL-1004,INVESTIGATING,INVESTIGATING
EVT-0000044,ALT-000006,ESCALATION_REQUESTED,2026-01-01T10:15:00Z,ANL-1004,INVESTIGATING,INVESTIGATING
EVT-0000045,ALT-000006,ESCALATED,2026-01-01T10:15:00Z,ANL-1004,INVESTIGATING,ESCALATED
EVT-0000046,ALT-000006,CLOSED,2026-01-01T10:18:00Z,ANL-1004,ESCALATED,CLOSED
EVT-0000047,ALT-000007,CREATED,2026-01-01T20:55:00Z,ANL-1008,,NEW
EVT-0000048,ALT-000007,ASSIGNED,2026-01-01T20:55:00Z,ANL-1008,NEW,ASSIGNED
EVT-0000049,ALT-000007,ACKNOWLEDGED,2026-01-01T21:18:00Z,ANL-1008,ASSIGNED,ACKNOWLEDGED
EVT-0000050,ALT-000007,INVESTIGATION_STARTED,2026-01-01T21:19:00Z,ANL-1008,ACKNOWLEDGED,INVESTIGATING
EVT-0000051,ALT-000007,EVIDENCE_ADDED,2026-01-01T21:37:00Z,ANL-1008,INVESTIGATING,INVESTIGATING
EVT-0000052,ALT-000007,CLOSED,2026-01-02T01:14:00Z,ANL-1008,INVESTIGATING,CLOSED
EVT-0000053,ALT-000008,CREATED,2026-01-01T19:38:00Z,ANL-1010,,NEW
EVT-0000054,ALT-000008,ASSIGNED,2026-01-01T19:38:00Z,ANL-1010,NEW,ASSIGNED
EVT-0000055,ALT-000008,ACKNOWLEDGED,2026-01-01T19:53:00Z,ANL-1010,ASSIGNED,ACKNOWLEDGED
EVT-0000056,ALT-000008,INVESTIGATION_STARTED,2026-01-01T19:55:00Z,ANL-1010,ACKNOWLEDGED,INVESTIGATING
EVT-0000057,ALT-000008,EVIDENCE_ADDED,2026-01-01T20:16:00Z,ANL-1010,INVESTIGATING,INVESTIGATING
EVT-0000058,ALT-000008,CLOSED,2026-01-01T22:42:00Z,ANL-1010,INVESTIGATING,CLOSED
