analyst_id,soc_id,role,experience_years,shift_id,active
ANL-1001,SOC-001,L2_ANALYST,7.3,,True
ANL-1002,SOC-001,L1_ANALYST,3.2,,True
ANL-1003,SOC-001,L2_ANALYST,8.7,,True
ANL-1004,SOC-001,L2_ANALYST,5.7,,True
ANL-1005,SOC-001,L1_ANALYST,9.2,,True
ANL-1006,SOC-001,L1_ANALYST,3.7,,True
ANL-1007,SOC-001,L1_ANALYST,1.7,,True
ANL-1008,SOC-001,L1_ANALYST,4.5,,True
ANL-1009,SOC-001,L1_ANALYST,5.8,,True
ANL-1010,SOC-001,L1_ANALYST,1.4,,True
ANL-1011,SOC-001,L1_ANALYST,10.7,,True
ANL-2001,SOC-002,L1_ANALYST,7.4,,True
ANL-2002,SOC-002,L1_ANALYST,5.9,,True
ANL-2003,SOC-002,L1_ANALYST,11.3,,True
ANL-2004,SOC-002,L2_ANALYST,10.7,,True
ANL-2005,SOC-002,L3_ANALYST,4.4,,True
ANL-2006,SOC-002,L1_ANALYST,0.5,,True
ANL-2007,SOC-002,L2_ANALYST,11.7,,True
ANL-2008,SOC-002,L3_ANALYST,1.7,,True
ANL-2009,SOC-002,L2_ANALYST,6.3,,True
ANL-2010,SOC-002,L1_ANALYST,2.4,,True
ANL-2011,SOC-002,INCIDENT_RESPONDER,11.1,,True
ANL-2012,SOC-002,L2_ANALYST,1.8,,True
ANL-2013,SOC-002,L1_ANALYST,9.8,,True
ANL-2014,SOC-002,L1_ANALYST,7.0,,True
ANL-2015,SOC-002,L1_ANALYST,9.9,,True
ANL-2016,SOC-002,THREAT_HUNTER,1.9,,True
ANL-2017,SOC-002,L2_ANALYST,2.4,,True
ANL-2018,SOC-002,L2_ANALYST,11.6,,True
ANL-2019,SOC-002,INCIDENT_RESPONDER,8.4,,True
ANL-2020,SOC-002,L2_ANALYST,8.2,,True
ANL-2021,SOC-002,L1_ANALYST,5.7,,True
ANL-2022,SOC-002,L1_ANALYST,7.3,,True
ANL-2023,SOC-002,L1_ANALYST,1.3,,True
ANL-2024,SOC-002,L2_ANALYST,10.9,,True
ANL-3001,SOC-003,L1_ANALYST,11.9,,True
ANL-3002,SOC-003,L2_ANALYST,2.3,,True
ANL-3003,SOC-003,L1_ANALYST,7.2,,True
ANL-3004,SOC-003,L2_ANALYST,1.2,,True
ANL-3005,SOC-003,L2_ANALYST,10.3,,True
ANL-3006,SOC-003,L1_ANALYST,1.4,,True
ANL-3007,SOC-003,L1_ANALYST,8.3,,True
ANL-3008,SOC-003,L1_ANALYST,10.7,,True
ANL-3009,SOC-003,L1_ANALYST,7.6,,True
ANL-4001,SOC-004,L1_ANALYST,8.4,,True
ANL-4002,SOC-004,L1_ANALYST,7.2,,True
ANL-4003,SOC-004,L1_ANALYST,4.7,,True
ANL-4004,SOC-004,INCIDENT_RESPONDER,1.0,,True
ANL-4005,SOC-004,L1_ANALYST,8.2,,True
ANL-4006,SOC-004,L1_ANALYST,10.6,,True
ANL-4007,SOC-004,THREAT_HUNTER,11.1,,True
ANL-4008,SOC-004,L1_ANALYST,10.6,,True
ANL-4009,SOC-004,L1_ANALYST,4.3,,True
ANL-4010,SOC-004,INCIDENT_RESPONDER,10.4,,True
ANL-4011,SOC-004,L3_ANALYST,9.6,,True
ANL-4012,SOC-004,L1_ANALYST,10.4,,True
ANL-4013,SOC-004,L1_ANALYST,5.8,,True
ANL-5001,SOC-005,L2_ANALYST,2.9,,True
ANL-5002,SOC-005,L3_ANALYST,4.2,,True
ANL-5003,SOC-005,L1_ANALYST,6.4,,True
ANL-5004,SOC-005,L3_ANALYST,9.0,,True
ANL-5005,SOC-005,L2_ANALYST,8.1,,True
ANL-5006,SOC-005,L2_ANALYST,11.4,,True
ANL-5007,SOC-005,L1_ANALYST,9.8,,True
ANL-5008,SOC-005,L1_ANALYST,11.8,,True
ANL-5009,SOC-005,L2_ANALYST,5.7,,True
ANL-5010,SOC-005,SOC_MANAGER,8.8,,True
ANL-5011,SOC-005,L1_ANALYST,2.2,,True
ANL-5012,SOC-005,L2_ANALYST,10.4,,True
ANL-5013,SOC-005,SOC_MANAGER,3.0,,True
ANL-5014,SOC-005,L3_ANALYST,5.8,,True
