escalation_id,alert_id,case_id,required,required_level,trigger_reason,initiated,initiated_at,initiated_by,target_team,completed,completed_at,delay_minutes
ESC-000001,ALT-000001,CASE-000001,True,L3,CRITICAL severity per policy,True,2026-01-01T13:37:00Z,ANL-1007,Incident Response,True,2026-01-01T13:52:00Z,38.0
ESC-000002,ALT-000002,CASE-000002,True,L2,HIGH severity per policy,True,2026-01-01T09:32:00Z,ANL-1007,Incident Response,True,2026-01-01T09:47:00Z,39.0
ESC-000003,ALT-000003,CASE-000003,True,L3,CRITICAL severity per policy,True,2026-01-01T18:44:00Z,ANL-1005,Incident Response,True,2026-01-01T18:59:00Z,31.0
ESC-000004,ALT-000004,CASE-000004,True,L2,HIGH severity per policy,True,2026-01-01T20:53:00Z,ANL-1010,Incident Response,True,2026-01-01T21:08:00Z,31.0
ESC-000005,ALT-000005,CASE-000005,False,,Not required,False,,,,False,,
ESC-000006,ALT-000006,CASE-000006,True,L2,HIGH severity per policy,True,2026-01-01T10:15:00Z,ANL-1004,Incident Response,True,2026-01-01T10:30:00Z,45.0
ESC-000007,ALT-000007,CASE-000007,False,,Not required,False,,,,False,,
ESC-000008,ALT-000008,CASE-000008,False,,Not required,False,,,,False,,
ESC-000009,ALT-000009,CASE-000009,False,,Not required,False,,,,False,,
ESC-000010,ALT-000010,CASE-000010,False,,Not required,False,,,,False,,
ESC-000011,ALT-000011,CASE-000011,False,,Not required,False,,,,False,,
ESC-000012,ALT-000012,CASE-000012,False,,Not required,False,,,,False,,
ESC-000013,ALT-000013,CASE-000013,False,,Not required,False,,,,False,,
ESC-000014,ALT-000014,CASE-000014,True,L2,HIGH severity per policy,True,2026-01-01T13:44:00Z,ANL-1011,Incident Response,True,2026-01-01T13:59:00Z,63.0
ESC-000015,ALT-000015,CASE-000015,True,L2,HIGH severity per policy,True,2026-01-01T20:12:00Z,ANL-1004,Incident Response,True,2026-01-01T20:27:00Z,51.0
ESC-000016,ALT-000016,CASE-000016,False,,Not required,False,,,,False,,
ESC-000017,ALT-000017,CASE-000017,False,,Not required,False,,,,False,,
ESC-000018,ALT-000018,CASE-000018,True,L3,CRITICAL severity per policy,True,2026-01-02T00:14:00Z,ANL-1003,Incident Response,True,2026-01-02T00:29:00Z,41.0
ESC-000019,ALT-000019,CASE-000019,False,,Not required,False,,,,False,,
ESC-000020,ALT-000020,CASE-000020,False,,Not required,False,,,,False,,
ESC-000021,ALT-000021,CASE-000021,False,,Not required,False,,,,False,,
ESC-000022,ALT-000022,CASE-000022,True,L2,HIGH severity per policy,True,2026-01-01T19:26:00Z,ANL-1001,Incident Response,True,2026-01-01T19:41:00Z,52.0
ESC-000023,ALT-000023,CASE-000023,False,,Not required,False,,,,False,,
ESC-000024,ALT-000024,CASE-000024,False,,Not required,False,,,,False,,
ESC-000025,ALT-000025,CASE-000025,False,,Not required,False,,,,False,,
ESC-000026,ALT-000026,CASE-000026,False,,Not required,False,,,,False,,
ESC-000027,ALT-000027,CASE-000027,False,,Not required,False,,,,False,,
ESC-000028,ALT-000028,CASE-000028,False,,Not required,False,,,,False,,
ESC-000029,ALT-000029,CASE-000029,True,L2,HIGH severity per policy,True,2026-01-01T11:34:00Z,ANL-1003,Incident Response,True,2026-01-01T11:49:00Z,41.0
ESC-000030,ALT-000030,CASE-000030,False,,Not required,False,,,,False,,
ESC-000031,ALT-000031,CASE-000031,False,,Not required,False,,,,False,,
ESC-000032,ALT-000032,CASE-000032,False,,Not required,False,,,,False,,
ESC-000033,ALT-000033,CASE-000033,False,,Not required,False,,,,False,,
ESC-000034,ALT-000034,CASE-000034,False,,Not required,False,,,,False,,
ESC-000035,ALT-000035,CASE-000035,True,L3,CRITICAL severity per policy,True,2026-01-01T15:18:00Z,ANL-1006,Incident Response,True,2026-01-01T15:33:00Z,14.0
ESC-000036,ALT-000036,CASE-000036,False,,Not required,False,,,,False,,
ESC-000037,ALT-000037,CASE-000037,False,,Not required,False,,,,False,,
ESC-000038,ALT-000038,CASE-000038,True,L2,HIGH severity per policy,True,2026-01-01T22:59:00Z,ANL-1008,Incident Response,True,2026-01-01T23:14:00Z,85.0
ESC-000039,ALT-000039,CASE-000039,False,,Not required,False,,,,False,,
ESC-000040,ALT-000040,CASE-000040,False,,Not required,False,,,,False,,
ESC-000041,ALT-000041,CASE-000041,True,L3,CRITICAL severity per policy,True,2026-01-02T15:40:00Z,ANL-1002,Incident Response,True,2026-01-02T15:55:00Z,41.0
ESC-000042,ALT-000042,CASE-000042,True,L2,HIGH severity per policy,True,2026-01-02T12:12:00Z,ANL-1006,Incident Response,True,2026-01-02T12:27:00Z,77.0
ESC-000043,ALT-000043,CASE-000043,False,,Not required,False,,,,False,,
ESC-000044,ALT-000044,CASE-000044,False,,Not required,False,,,,False,,
ESC-000045,ALT-000045,CASE-000045,False,,Not required,False,,,,False,,
ESC-000046,ALT-000046,CASE-000046,False,,Not required,False,,,,False,,
ESC-000047,ALT-000047,CASE-000047,False,,Not required,False,,,,False,,
ESC-000048,ALT-000048,CASE-000048,True,L3,CRITICAL severity per policy,True,2026-01-02T12:29:00Z,ANL-1006,Incident Response,True,2026-01-02T12:44:00Z,27.0
ESC-000049,ALT-000049,CASE-000049,True,L2,HIGH severity per policy,True,2026-01-02T12:14:00Z,ANL-1002,Incident Response,True,2026-01-02T12:29:00Z,81.0
ESC-000050,ALT-000050,CASE-000050,True,L2,HIGH severity per policy,True,2026-01-03T00:26:00Z,ANL-1003,Incident Response,True,2026-01-03T00:41:00Z,65.0
ESC-000051,ALT-000051,CASE-000051,False,,Not required,False,,,,False,,
ESC-000052,ALT-000052,CASE-000052,False,,Not required,False,,,,False,,
ESC-000053,ALT-000053,CASE-000053,False,,Not required,False,,,,False,,
ESC-000054,ALT-000054,CASE-000054,True,L2,HIGH severity per policy,True,2026-01-02T10:22:00Z,ANL-1011,Incident Response,True,2026-01-02T10:37:00Z,35.0
ESC-000055,ALT-000055,CASE-000055,False,,Not required,False,,,,False,,
ESC-000056,ALT-000056,CASE-000056,False,,Not required,False,,,,False,,
ESC-000057,ALT-000057,CASE-000057,False,,Not required,False,,,,False,,
ESC-000058,ALT-000058,CASE-000058,True,L2,HIGH severity per policy,True,2026-01-02T13:33:00Z,ANL-1002,Incident Response,True,2026-01-02T13:48:00Z,57.0
ESC-000059,ALT-000059,CASE-000059,False,,Not required,False,,,,False,,
ESC-000060,ALT-000060,CASE-000060,True,L2,HIGH severity per policy,True,2026-01-02T17:13:00Z,ANL-1007,Incident Response,True,2026-01-02T17:28:00Z,44.0
ESC-000061,ALT-000061,CASE-000061,False,,Not required,False,,,,False,,
ESC-000062,ALT-000062,CASE-000062,True,L2,HIGH severity per policy,True,2026-01-02T11:05:00Z,ANL-1001,Incident Response,True,2026-01-02T11:20:00Z,56.0
ESC-000063,ALT-000063,CASE-000063,False,,Not required,False,,,,False,,
ESC-000064,ALT-000064,CASE-000064,True,L3,CRITICAL severity per policy,True,2026-01-02T20:41:00Z,ANL-1009,Incident Response,True,2026-01-02T20:56:00Z,26.0
