evidence_id,alert_id,case_id,analyst_id,timestamp,evidence_type,source,reference,relevance
EVD-000001,ALT-000001,CASE-000001,ANL-1007,2026-01-01T13:16:00Z,CASE_NOTE,Splunk ES,REF-70515,Supports investigation finding
EVD-000002,ALT-000002,CASE-000002,ANL-1007,2026-01-01T09:15:00Z,ENDPOINT_LOG,Microsoft Sentinel,REF-70952,Supports investigation finding
EVD-000003,ALT-000003,CASE-000003,ANL-1005,2026-01-01T18:50:00Z,THREAT_INTELLIGENCE,Elastic Security,REF-54725,Supports investigation finding
EVD-000004,ALT-000004,CASE-000004,ANL-1010,2026-01-01T20:52:00Z,AUTHENTICATION_LOG,Elastic Security,REF-37802,Supports investigation finding
EVD-000005,ALT-000005,CASE-000005,ANL-1004,2026-01-01T06:38:00Z,PROCESS_TREE,Elastic Security,REF-79588,Supports investigation finding
EVD-000006,ALT-000006,CASE-000006,ANL-1004,2026-01-01T09:55:00Z,SIEM_LOG,Splunk ES,REF-80010,Supports investigation finding
EVD-000007,ALT-000007,CASE-000007,ANL-1008,2026-01-01T21:37:00Z,ENDPOINT_LOG,Microsoft Sentinel,REF-83772,Supports investigation finding
EVD-000008,ALT-000008,CASE-000008,ANL-1010,2026-01-01T20:16:00Z,SIEM_LOG,Elastic Security,REF-63545,Supports investigation finding
EVD-000009,ALT-000009,CASE-000009,ANL-1008,2026-01-01T10:09:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-49857,Supports investigation finding
EVD-000010,ALT-000010,CASE-000010,ANL-1006,2026-01-01T14:45:00Z,NETWORK_LOG,Microsoft Sentinel,REF-52081,Supports investigation finding
EVD-000011,ALT-000011,CASE-000011,ANL-1009,2026-01-01T22:27:00Z,CASE_NOTE,Microsoft Sentinel,REF-16764,Supports investigation finding
EVD-000012,ALT-000012,CASE-000012,ANL-1001,2026-01-01T15:48:00Z,PROCESS_TREE,Splunk ES,REF-28958,Supports investigation finding
EVD-000013,ALT-000013,CASE-000013,ANL-1009,2026-01-01T14:20:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-40613,Supports investigation finding
EVD-000014,ALT-000014,CASE-000014,ANL-1011,2026-01-01T13:06:00Z,PROCESS_TREE,Splunk ES,REF-62098,Supports investigation finding
EVD-000015,ALT-000015,CASE-000015,ANL-1004,2026-01-01T19:38:00Z,ENDPOINT_LOG,IBM QRadar,REF-42007,Supports investigation finding
EVD-000016,ALT-000016,CASE-000016,ANL-1011,2026-01-01T13:29:00Z,CASE_NOTE,Splunk ES,REF-49599,Supports investigation finding
EVD-000017,ALT-000017,CASE-000017,ANL-1005,2026-01-01T12:47:00Z,NETWORK_LOG,IBM QRadar,REF-67779,Supports investigation finding
EVD-000018,ALT-000018,CASE-000018,ANL-1003,2026-01-01T23:51:00Z,CASE_NOTE,IBM QRadar,REF-61717,Supports investigation finding
EVD-000019,ALT-000019,CASE-000019,ANL-1002,2026-01-01T20:49:00Z,ENDPOINT_LOG,Elastic Security,REF-80457,Supports investigation finding
