incident_id,soc_id,created_at,severity,incident_type,attack_stage,affected_asset_count,affected_user_count,status,contained_at,resolved_at
INC-000001,SOC-001,2026-01-01T12:54:00Z,CRITICAL,Reconnaissance,Reconnaissance,6,2,RESOLVED,2026-01-01T12:40:00Z,2026-01-01T13:40:00Z
INC-000002,SOC-001,2026-01-01T18:01:00Z,CRITICAL,Credential Access,Credential Access,6,4,RESOLVED,2026-01-01T17:51:00Z,2026-01-01T18:51:00Z
INC-000003,SOC-001,2026-01-02T14:48:00Z,CRITICAL,Execution,Execution,2,4,RESOLVED,2026-01-02T14:44:00Z,2026-01-02T15:44:00Z
INC-000004,SOC-001,2026-01-02T20:03:00Z,CRITICAL,Credential Access,Credential Access,1,5,RESOLVED,2026-01-02T19:50:00Z,2026-01-02T20:50:00Z
INC-000005,SOC-001,2026-01-02T05:36:00Z,CRITICAL,Lateral Movement,Lateral Movement,6,5,RESOLVED,2026-01-02T05:25:00Z,2026-01-02T06:25:00Z
INC-000006,SOC-001,2026-01-02T10:18:00Z,CRITICAL,Impact,Impact,3,4,RESOLVED,2026-01-02T10:14:00Z,2026-01-02T11:14:00Z
INC-000007,SOC-001,2026-01-03T14:35:00Z,CRITICAL,Exfiltration,Exfiltration,8,1,RESOLVED,2026-01-03T14:05:00Z,2026-01-03T15:05:00Z
INC-000008,SOC-001,2026-01-04T05:32:00Z,CRITICAL,Exfiltration,Exfiltration,1,3,RESOLVED,2026-01-04T05:17:00Z,2026-01-04T06:17:00Z
INC-000009,SOC-001,2026-01-07T01:48:00Z,CRITICAL,Command and Control,Command and Control,6,5,RESOLVED,2026-01-07T01:36:00Z,2026-01-07T02:36:00Z
INC-000010,SOC-001,2026-01-07T09:13:00Z,CRITICAL,Credential Access,Credential Access,5,5,RESOLVED,2026-01-07T08:50:00Z,2026-01-07T09:50:00Z
INC-000011,SOC-001,2026-01-08T20:09:00Z,CRITICAL,Persistence,Persistence,8,1,RESOLVED,2026-01-08T19:52:00Z,2026-01-08T20:52:00Z
INC-000012,SOC-001,2026-01-08T10:51:00Z,CRITICAL,Reconnaissance,Reconnaissance,2,3,RESOLVED,2026-01-08T10:34:00Z,2026-01-08T11:34:00Z
INC-000013,SOC-001,2026-01-09T09:12:00Z,CRITICAL,Command and Control,Command and Control,4,3,RESOLVED,2026-01-09T08:57:00Z,2026-01-09T09:57:00Z
INC-000014,SOC-001,2026-01-10T16:54:00Z,CRITICAL,Impact,Impact,6,5,RESOLVED,2026-01-10T16:45:00Z,2026-01-10T17:45:00Z
INC-000015,SOC-001,2026-01-10T00:48:00Z,CRITICAL,Reconnaissance,Reconnaissance,3,1,RESOLVED,2026-01-10T00:28:00Z,2026-01-10T01:28:00Z
INC-000016,SOC-001,2026-01-10T19:42:00Z,CRITICAL,Reconnaissance,Reconnaissance,7,4,RESOLVED,2026-01-10T19:17:00Z,2026-01-10T20:17:00Z
INC-000017,SOC-001,2026-01-14T02:31:00Z,CRITICAL,Credential Access,Credential Access,7,5,RESOLVED,2026-01-14T01:57:00Z,2026-01-14T02:57:00Z
INC-000018,SOC-002,2026-01-01T16:03:00Z,CRITICAL,Command and Control,Command and Control,5,4,RESOLVED,2026-01-01T22:25:00Z,2026-01-01T23:25:00Z
INC-000019,SOC-002,2026-01-01T23:13:00Z,CRITICAL,Impact,Impact,6,1,RESOLVED,2026-01-01T22:46:00Z,2026-01-01T23:46:00Z
INC-000020,SOC-002,2026-01-02T00:59:00Z,CRITICAL,Credential Access,Credential Access,6,2,RESOLVED,2026-01-02T00:43:00Z,2026-01-02T01:43:00Z
INC-000021,SOC-002,2026-01-03T16:47:00Z,CRITICAL,Exfiltration,Exfiltration,4,1,RESOLVED,2026-01-03T16:26:00Z,2026-01-03T17:26:00Z
INC-000022,SOC-002,2026-01-04T05:52:00Z,CRITICAL,Credential Access,Credential Access,1,2,RESOLVED,2026-01-04T05:30:00Z,2026-01-04T06:30:00Z
INC-000023,SOC-002,2026-01-04T07:47:00Z,CRITICAL,Lateral Movement,Lateral Movement,7,3,RESOLVED,2026-01-04T15:47:00Z,2026-01-04T16:47:00Z
INC-000024,SOC-002,2026-01-04T04:53:00Z,CRITICAL,Execution,Execution,3,4,RESOLVED,2026-01-04T04:38:00Z,2026-01-04T05:38:00Z
INC-000025,SOC-002,2026-01-05T08:09:00Z,CRITICAL,Execution,Execution,1,5,RESOLVED,2026-01-05T07:58:00Z,2026-01-05T08:58:00Z
INC-000026,SOC-002,2026-01-05T02:10:00Z,CRITICAL,Command and Control,Command and Control,4,1,RESOLVED,2026-01-05T09:20:00Z,2026-01-05T10:20:00Z
INC-000027,SOC-002,2026-01-06T04:12:00Z,CRITICAL,Exfiltration,Exfiltration,1,3,RESOLVED,2026-01-06T03:59:00Z,2026-01-06T04:59:00Z
INC-000028,SOC-002,2026-01-07T02:18:00Z,CRITICAL,Command and Control,Command and Control,7,4,RESOLVED,2026-01-07T02:04:00Z,2026-01-07T03:04:00Z
INC-000029,SOC-002,2026-01-07T04:15:00Z,CRITICAL,Exfiltration,Exfiltration,8,4,RESOLVED,2026-01-07T03:48:00Z,2026-01-07T04:48:00Z
INC-000030,SOC-002,2026-01-08T12:50:00Z,CRITICAL,Lateral Movement,Lateral Movement,4,5,RESOLVED,2026-01-08T12:19:00Z,2026-01-08T13:19:00Z
INC-000031,SOC-002,2026-01-08T19:13:00Z,CRITICAL,Command and Control,Command and Control,5,2,RESOLVED,2026-01-08T19:04:00Z,2026-01-08T20:04:00Z
INC-000032,SOC-002,2026-01-08T11:37:00Z,CRITICAL,Command and Control,Command and Control,4,2,RESOLVED,2026-01-08T11:22:00Z,2026-01-08T12:22:00Z
INC-000033,SOC-002,2026-01-09T13:45:00Z,CRITICAL,Persistence,Persistence,2,4,RESOLVED,2026-01-09T13:30:00Z,2026-01-09T14:30:00Z
INC-000034,SOC-002,2026-01-09T18:37:00Z,CRITICAL,Impact,Impact,5,2,RESOLVED,2026-01-09T18:18:00Z,2026-01-09T19:18:00Z
INC-000035,SOC-002,2026-01-10T03:24:00Z,CRITICAL,Command and Control,Command and Control,1,2,RESOLVED,2026-01-10T03:07:00Z,2026-01-10T04:07:00Z
