mitre_technique_id,technique_name,tactic,description
T1059.001,PowerShell,Execution,PowerShell activity observed under Execution
T1059.003,Windows Command Shell,Execution,Windows Command Shell activity observed under Execution
T1053.005,Scheduled Task,Persistence,Scheduled Task activity observed under Persistence
T1547.001,Registry Run Keys,Persistence,Registry Run Keys activity observed under Persistence
T1110,Brute Force,Credential Access,Brute Force activity observed under Credential Access
T1003,OS Credential Dumping,Credential Access,OS Credential Dumping activity observed under Credential Access
T1021.001,Remote Desktop Protocol,Lateral Movement,Remote Desktop Protocol activity observed under Lateral Movement
T1021.002,SMB/Windows Admin Shares,Lateral Movement,SMB/Windows Admin Shares activity observed under Lateral Movement
T1041,Exfiltration Over C2 Channel,Exfiltration,Exfiltration Over C2 Channel activity observed under Exfiltration
T1567,Exfiltration Over Web Service,Exfiltration,Exfiltration Over Web Service activity observed under Exfiltration
T1071.001,Web Protocols,Command and Control,Web Protocols activity observed under Command and Control
T1105,Ingress Tool Transfer,Command and Control,Ingress Tool Transfer activity observed under Command and Control
T1595,Active Scanning,Reconnaissance,Active Scanning activity observed under Reconnaissance
T1486,Data Encrypted for Impact,Impact,Data Encrypted for Impact activity observed under Impact
