policy_id,soc_id,rule_id,rule_name,severity,condition,required_action,threshold
POL-0001,SOC-001,ESC-HIGH-001,High alerts require escalation,HIGH,severity == HIGH,ESCALATE_L2,90
POL-0002,SOC-001,ESC-CRITICAL-001,Critical alerts require escalation,CRITICAL,severity == CRITICAL,ESCALATE_L3,45
POL-0003,SOC-002,ESC-HIGH-001,High alerts require escalation,HIGH,severity == HIGH,ESCALATE_L2,90
POL-0004,SOC-002,ESC-CRITICAL-001,Critical alerts require escalation,CRITICAL,severity == CRITICAL,ESCALATE_L3,45
POL-0005,SOC-003,ESC-HIGH-001,High alerts require escalation,HIGH,severity == HIGH,ESCALATE_L2,90
POL-0006,SOC-003,ESC-CRITICAL-001,Critical alerts require escalation,CRITICAL,severity == CRITICAL,ESCALATE_L3,45
POL-0007,SOC-004,ESC-HIGH-001,High alerts require escalation,HIGH,severity == HIGH,ESCALATE_L2,90
POL-0008,SOC-004,ESC-CRITICAL-001,Critical alerts require escalation,CRITICAL,severity == CRITICAL,ESCALATE_L3,45
POL-0009,SOC-005,ESC-HIGH-001,High alerts require escalation,HIGH,severity == HIGH,ESCALATE_L2,90
POL-0010,SOC-005,ESC-CRITICAL-001,Critical alerts require escalation,CRITICAL,severity == CRITICAL,ESCALATE_L3,45
