shift_id,soc_id,shift_date,start_time,end_time,shift_type,analyst_count,supervisor_id
SHIFT-00001,SOC-001,2026-01-01,06:00:00,14:00:00,MORNING,3,ANL-1006
SHIFT-00002,SOC-001,2026-01-01,14:00:00,22:00:00,EVENING,3,ANL-1010
SHIFT-00003,SOC-001,2026-01-01,22:00:00,06:00:00,NIGHT,3,ANL-1004
SHIFT-00004,SOC-001,2026-01-02,06:00:00,14:00:00,MORNING,3,ANL-1002
SHIFT-00005,SOC-001,2026-01-02,14:00:00,22:00:00,EVENING,3,ANL-1001
SHIFT-00006,SOC-001,2026-01-02,22:00:00,06:00:00,NIGHT,3,ANL-1011
SHIFT-00007,SOC-001,2026-01-03,06:00:00,14:00:00,MORNING,3,ANL-1004
SHIFT-00008,SOC-001,2026-01-03,14:00:00,22:00:00,EVENING,3,ANL-1005
SHIFT-00009,SOC-001,2026-01-03,22:00:00,06:00:00,NIGHT,3,ANL-1002
SHIFT-00010,SOC-001,2026-01-04,06:00:00,14:00:00,MORNING,3,ANL-1004
SHIFT-00011,SOC-001,2026-01-04,14:00:00,22:00:00,EVENING,3,ANL-1002
SHIFT-00012,SOC-001,2026-01-04,22:00:00,06:00:00,NIGHT,3,ANL-1007
SHIFT-00013,SOC-001,2026-01-05,06:00:00,14:00:00,MORNING,3,ANL-1005
SHIFT-00014,SOC-001,2026-01-05,14:00:00,22:00:00,EVENING,3,ANL-1008
SHIFT-00015,SOC-001,2026-01-05,22:00:00,06:00:00,NIGHT,3,ANL-1011
SHIFT-00016,SOC-001,2026-01-06,06:00:00,14:00:00,MORNING,3,ANL-1006
SHIFT-00017,SOC-001,2026-01-06,14:00:00,22:00:00,EVENING,3,ANL-1003
SHIFT-00018,SOC-001,2026-01-06,22:00:00,06:00:00,NIGHT,3,ANL-1006
SHIFT-00019,SOC-001,2026-01-07,06:00:00,14:00:00,MORNING,3,ANL-1006
SHIFT-00020,SOC-001,2026-01-07,14:00:00,22:00:00,EVENING,3,ANL-1004
SHIFT-00021,SOC-001,2026-01-07,22:00:00,06:00:00,NIGHT,3,ANL-1011
SHIFT-00022,SOC-001,2026-01-08,06:00:00,14:00:00,MORNING,3,ANL-1005
SHIFT-00023,SOC-001,2026-01-08,14:00:00,22:00:00,EVENING,3,ANL-1011
SHIFT-00024,SOC-001,2026-01-08,22:00:00,06:00:00,NIGHT,3,ANL-1011
SHIFT-00025,SOC-001,2026-01-09,06:00:00,14:00:00,MORNING,3,ANL-1002
SHIFT-00026,SOC-001,2026-01-09,14:00:00,22:00:00,EVENING,3,ANL-1010
SHIFT-00027,SOC-001,2026-01-09,22:00:00,06:00:00,NIGHT,3,ANL-1011
SHIFT-00028,SOC-001,2026-01-10,06:00:00,14:00:00,MORNING,3,ANL-1003
SHIFT-00029,SOC-001,2026-01-10,14:00:00,22:00:00,EVENING,3,ANL-1009
SHIFT-00030,SOC-001,2026-01-10,22:00:00,06:00:00,NIGHT,3,ANL-1004
SHIFT-00031,SOC-001,2026-01-11,06:00:00,14:00:00,MORNING,3,ANL-1003
SHIFT-00032,SOC-001,2026-01-11,14:00:00,22:00:00,EVENING,3,ANL-1008
SHIFT-00033,SOC-001,2026-01-11,22:00:00,06:00:00,NIGHT,3,ANL-1007
SHIFT-00034,SOC-001,2026-01-12,06:00:00,14:00:00,MORNING,3,ANL-1005
SHIFT-00035,SOC-001,2026-01-12,14:00:00,22:00:00,EVENING,3,ANL-1011
SHIFT-00036,SOC-001,2026-01-12,22:00:00,06:00:00,NIGHT,3,ANL-1009
SHIFT-00037,SOC-001,2026-01-13,06:00:00,14:00:00,MORNING,3,ANL-1004
SHIFT-00038,SOC-001,2026-01-13,14:00:00,22:00:00,EVENING,3,ANL-1011
SHIFT-00039,SOC-001,2026-01-13,22:00:00,06:00:00,NIGHT,3,ANL-1006
SHIFT-00040,SOC-001,2026-01-14,06:00:00,14:00:00,MORNING,3,ANL-1001
SHIFT-00041,SOC-001,2026-01-14,14:00:00,22:00:00,EVENING,3,ANL-1004
SHIFT-00042,SOC-001,2026-01-14,22:00:00,06:00:00,NIGHT,3,ANL-1001
SHIFT-00043,SOC-002,2026-01-01,06:00:00,14:00:00,MORNING,8,ANL-2011
SHIFT-00044,SOC-002,2026-01-01,14:00:00,22:00:00,EVENING,8,ANL-2003
SHIFT-00045,SOC-002,2026-01-01,22:00:00,06:00:00,NIGHT,8,ANL-2017
SHIFT-00046,SOC-002,2026-01-02,06:00:00,14:00:00,MORNING,8,ANL-2008
SHIFT-00047,SOC-002,2026-01-02,14:00:00,22:00:00,EVENING,8,ANL-2009
SHIFT-00048,SOC-002,2026-01-02,22:00:00,06:00:00,NIGHT,8,ANL-2022
SHIFT-00049,SOC-002,2026-01-03,06:00:00,14:00:00,MORNING,8,ANL-2016
SHIFT-00050,SOC-002,2026-01-03,14:00:00,22:00:00,EVENING,8,ANL-2007
SHIFT-00051,SOC-002,2026-01-03,22:00:00,06:00:00,NIGHT,8,ANL-2018
SHIFT-00052,SOC-002,2026-01-04,06:00:00,14:00:00,MORNING,8,ANL-2005
SHIFT-00053,SOC-002,2026-01-04,14:00:00,22:00:00,EVENING,8,ANL-2024
SHIFT-00054,SOC-002,2026-01-04,22:00:00,06:00:00,NIGHT,8,ANL-2019
SHIFT-00055,SOC-002,2026-01-05,06:00:00,14:00:00,MORNING,8,ANL-2019
SHIFT-00056,SOC-002,2026-01-05,14:00:00,22:00:00,EVENING,8,ANL-2016
SHIFT-00057,SOC-002,2026-01-05,22:00:00,06:00:00,NIGHT,8,ANL-2008
SHIFT-00058,SOC-002,2026-01-06,06:00:00,14:00:00,MORNING,8,ANL-2016
SHIFT-00059,SOC-002,2026-01-06,14:00:00,22:00:00,EVENING,8,ANL-2014
SHIFT-00060,SOC-002,2026-01-06,22:00:00,06:00:00,NIGHT,8,ANL-2007
SHIFT-00061,SOC-002,2026-01-07,06:00:00,14:00:00,MORNING,8,ANL-2004
SHIFT-00062,SOC-002,2026-01-07,14:00:00,22:00:00,EVENING,8,ANL-2004
SHIFT-00063,SOC-002,2026-01-07,22:00:00,06:00:00,NIGHT,8,ANL-2022
SHIFT-00064,SOC-002,2026-01-08,06:00:00,14:00:00,MORNING,8,ANL-2014
SHIFT-00065,SOC-002,2026-01-08,14:00:00,22:00:00,EVENING,8,ANL-2012
SHIFT-00066,SOC-002,2026-01-08,22:00:00,06:00:00,NIGHT,8,ANL-2014
SHIFT-00067,SOC-002,2026-01-09,06:00:00,14:00:00,MORNING,8,ANL-2014
SHIFT-00068,SOC-002,2026-01-09,14:00:00,22:00:00,EVENING,8,ANL-2015
SHIFT-00069,SOC-002,2026-01-09,22:00:00,06:00:00,NIGHT,8,ANL-2024
SHIFT-00070,SOC-002,2026-01-10,06:00:00,14:00:00,MORNING,8,ANL-2002
SHIFT-00071,SOC-002,2026-01-10,14:00:00,22:00:00,EVENING,8,ANL-2022
SHIFT-00072,SOC-002,2026-01-10,22:00:00,06:00:00,NIGHT,8,ANL-2021
SHIFT-00073,SOC-002,2026-01-11,06:00:00,14:00:00,MORNING,8,ANL-2021
SHIFT-00074,SOC-002,2026-01-11,14:00:00,22:00:00,EVENING,8,ANL-2004
SHIFT-00075,SOC-002,2026-01-11,22:00:00,06:00:00,NIGHT,8,ANL-2002
SHIFT-00076,SOC-002,2026-01-12,06:00:00,14:00:00,MORNING,8,ANL-2013
SHIFT-00077,SOC-002,2026-01-12,14:00:00,22:00:00,EVENING,8,ANL-2024
SHIFT-00078,SOC-002,2026-01-12,22:00:00,06:00:00,NIGHT,8,ANL-2011
SHIFT-00079,SOC-002,2026-01-13,06:00:00,14:00:00,MORNING,8,ANL-2004
SHIFT-00080,SOC-002,2026-01-13,14:00:00,22:00:00,EVENING,8,ANL-2008
SHIFT-00081,SOC-002,2026-01-13,22:00:00,06:00:00,NIGHT,8,ANL-2007
SHIFT-00082,SOC-002,2026-01-14,06:00:00,14:00:00,MORNING,8,ANL-2007
SHIFT-00083,SOC-002,2026-01-14,14:00:00,22:00:00,EVENING,8,ANL-2018
SHIFT-00084,SOC-002,2026-01-14,22:00:00,06:00:00,NIGHT,8,ANL-2015
SHIFT-00085,SOC-003,2026-01-01,06:00:00,14:00:00,MORNING,3,ANL-3007
SHIFT-00086,SOC-003,2026-01-01,14:00:00,22:00:00,EVENING,3,ANL-3009
SHIFT-00087,SOC-003,2026-01-01,22:00:00,06:00:00,NIGHT,3,ANL-3006
SHIFT-00088,SOC-003,2026-01-02,06:00:00,14:00:00,MORNING,3,ANL-3005
SHIFT-00089,SOC-003,2026-01-02,14:00:00,22:00:00,EVENING,3,ANL-3004
SHIFT-00090,SOC-003,2026-01-02,22:00:00,06:00:00,NIGHT,3,ANL-3006
SHIFT-00091,SOC-003,2026-01-03,06:00:00,14:00:00,MORNING,3,ANL-3004
