telemetry_id,soc_id,source_name,source_type,expected,enabled,last_event_timestamp,event_count,coverage_percentage,health_status
TEL-0001,SOC-001,Email Gateway Logs,EMAIL,True,True,2026-01-14T00:00:00Z,33217,88.2,HEALTHY
TEL-0002,SOC-001,Database Audit Logs,DATABASE,False,True,2026-01-14T00:00:00Z,42629,23.7,DEGRADED
TEL-0003,SOC-001,OT/ICS Historian Logs,OT,False,True,2026-01-14T00:00:00Z,17859,27.5,DEGRADED
TEL-0004,SOC-001,Endpoint Detection (EDR),ENDPOINT,True,True,2026-01-14T00:00:00Z,49323,87.1,HEALTHY
TEL-0005,SOC-001,Domain Controller Logs,AUTHENTICATION,True,True,2026-01-14T00:00:00Z,17719,93.4,HEALTHY
TEL-0006,SOC-001,Firewall / Perimeter Logs,NETWORK,True,True,2026-01-14T00:00:00Z,28577,96.1,HEALTHY
TEL-0007,SOC-001,CloudTrail,CLOUD,True,True,2026-01-14T00:00:00Z,26675,98.4,HEALTHY
TEL-0008,SOC-001,DNS Logs,NETWORK,True,True,2026-01-14T00:00:00Z,9565,90.4,HEALTHY
TEL-0009,SOC-002,DNS Logs,NETWORK,True,True,2026-01-14T00:00:00Z,36566,97.0,HEALTHY
TEL-0010,SOC-002,Email Gateway Logs,EMAIL,True,True,2026-01-14T00:00:00Z,43238,86.5,HEALTHY
TEL-0011,SOC-002,Domain Controller Logs,AUTHENTICATION,True,True,2026-01-14T00:00:00Z,1467,99.9,HEALTHY
TEL-0012,SOC-002,Database Audit Logs,DATABASE,False,True,2026-01-14T00:00:00Z,49885,58.1,DEGRADED
TEL-0013,SOC-002,OT/ICS Historian Logs,OT,False,True,2026-01-14T00:00:00Z,11399,50.9,DEGRADED
TEL-0014,SOC-002,Endpoint Detection (EDR),ENDPOINT,True,False,,0,0.0,MISSING
TEL-0015,SOC-002,CloudTrail,CLOUD,True,True,2026-01-14T00:00:00Z,32046,91.1,HEALTHY
TEL-0016,SOC-002,Firewall / Perimeter Logs,NETWORK,True,True,2026-01-14T00:00:00Z,26782,88.2,HEALTHY
TEL-0017,SOC-003,Domain Controller Logs,AUTHENTICATION,True,True,2026-01-14T00:00:00Z,17800,95.2,HEALTHY
TEL-0018,SOC-003,CloudTrail,CLOUD,True,False,,0,0.0,MISSING
TEL-0019,SOC-003,DNS Logs,NETWORK,True,True,2026-01-14T00:00:00Z,16957,92.5,HEALTHY
TEL-0020,SOC-003,Endpoint Detection (EDR),ENDPOINT,True,True,2026-01-14T00:00:00Z,3829,98.5,HEALTHY
TEL-0021,SOC-003,Email Gateway Logs,EMAIL,True,True,2026-01-14T00:00:00Z,28259,86.4,HEALTHY
TEL-0022,SOC-003,Database Audit Logs,DATABASE,False,True,2026-01-14T00:00:00Z,3389,49.8,DEGRADED
TEL-0023,SOC-003,OT/ICS Historian Logs,OT,False,True,2026-01-14T00:00:00Z,9073,0.2,DEGRADED
TEL-0024,SOC-003,Firewall / Perimeter Logs,NETWORK,True,True,2026-01-14T00:00:00Z,17667,94.5,HEALTHY
TEL-0025,SOC-004,Email Gateway Logs,EMAIL,True,False,,0,0.0,MISSING
TEL-0026,SOC-004,Firewall / Perimeter Logs,NETWORK,True,True,2026-01-14T00:00:00Z,43975,94.3,HEALTHY
TEL-0027,SOC-004,Database Audit Logs,DATABASE,False,True,2026-01-14T00:00:00Z,47669,50.9,DEGRADED
TEL-0028,SOC-004,Endpoint Detection (EDR),ENDPOINT,True,False,,0,0.0,MISSING
TEL-0029,SOC-004,OT/ICS Historian Logs,OT,False,True,2026-01-14T00:00:00Z,33734,54.0,DEGRADED
TEL-0030,SOC-004,CloudTrail,CLOUD,True,True,2026-01-14T00:00:00Z,27264,89.6,HEALTHY
TEL-0031,SOC-004,DNS Logs,NETWORK,True,True,2026-01-14T00:00:00Z,46192,89.9,HEALTHY
TEL-0032,SOC-004,Domain Controller Logs,AUTHENTICATION,True,True,2026-01-14T00:00:00Z,8841,89.4,HEALTHY
TEL-0033,SOC-005,Domain Controller Logs,AUTHENTICATION,True,True,2026-01-14T00:00:00Z,5780,98.3,HEALTHY
TEL-0034,SOC-005,CloudTrail,CLOUD,True,True,2026-01-14T00:00:00Z,15655,87.1,HEALTHY
TEL-0035,SOC-005,Email Gateway Logs,EMAIL,True,True,2026-01-14T00:00:00Z,10514,90.7,HEALTHY
TEL-0036,SOC-005,Database Audit Logs,DATABASE,False,True,2026-01-14T00:00:00Z,4709,42.4,DEGRADED
TEL-0037,SOC-005,OT/ICS Historian Logs,OT,False,True,2026-01-14T00:00:00Z,22184,24.9,DEGRADED
TEL-0038,SOC-005,Firewall / Perimeter Logs,NETWORK,True,True,2026-01-14T00:00:00Z,27748,93.1,HEALTHY
TEL-0039,SOC-005,DNS Logs,NETWORK,True,True,2026-01-14T00:00:00Z,28034,85.9,HEALTHY
TEL-0040,SOC-005,Endpoint Detection (EDR),ENDPOINT,True,True,2026-01-14T00:00:00Z,38778,90.8,HEALTHY
